AZIMUTH,ELEVATION,EXPOSED,FRONTAL,DRAG_MUL,SRP_X_MUL,SRP_Y_MUL,SRP_Z_MUL,POW_MUL,ABS_MUL,EMI_MUL
-3.141592653589793,-1.5707963267948966,0.5221,0.43724613918039495,1.0588463999699358,0.0499690948029115,3.278820873334628E-33,0.5206000689885474,0.0,0.2885824518590607,0.3607280648238259
-3.141592653589793,-1.4835298641951802,0.6003000000000001,0.46585339806757886,1.1800624086107845,0.09474080553552143,4.972286308712528E-18,0.5514725217549142,0.0039045772750950845,0.3078146546793606,0.3840362101101204
-3.141592653589793,-1.3962634015954636,0.6003000000000001,0.49091523130549586,1.291363398174889,0.14314342320270054,1.0439689659984033E-17,0.5742217644327294,0.007779438359478482,0.3247042021139804,0.40442160795007326
-3.141592653589793,-1.3089969389957472,0.6003000000000001,0.512240903210457,1.3889573572441327,0.19379184033508795,1.62360857696257E-17,0.5882333846185268,0.01159509322059293,0.33912255450875506,0.42172911315708256
-3.141592653589793,-1.2217304763960306,0.6003000000000001,0.5296681125424727,1.469420938934574,0.245222677117496,2.2185354074964034E-17,0.5931427265423347,0.015322502420989963,0.35095997949592106,0.4358270051659657
-3.141592653589793,-1.1344640137963142,0.6003000000000001,0.5430642277156895,1.5299081929521121,0.2959381704880082,2.810672906901636E-17,0.5888455060913714,0.018933298125983336,0.3601263871236936,0.44660799050599514
-3.141592653589793,-1.0471975511965979,0.6003000000000001,0.5523272962048439,1.5683244393595253,0.34445118870178,3.3820292768948693E-17,0.5755006378375478,0.022399999999999996,0.36655201549519695,0.45399001936899624
-3.141592653589793,-0.9599310885968813,0.6003000000000001,0.5573868204655396,1.5834535876129845,0.3893300073760272,3.9152441432941365E-17,0.5535251907706987,0.025696224348526867,0.37018796169862345,0.4579169100579305
-3.141592653589793,-0.8726646259971648,0.6003000000000001,0.5582042944631284,1.575030341717265,0.4292414896367999,4.394116042203635E-17,0.5235816276468572,0.028796884913956964,0.3710065539879209,0.4583587765635342
-3.141592653589793,-0.7853981633974483,0.6003000000000001,0.5547734967268844,1.5437524520382622,0.4629913608118148,4.804094693295872E-17,0.4865577163489372,0.03167838379715733,0.3690015623814879,0.45531225601489295
-3.141592653589793,-0.6981317007977318,0.6003000000000001,0.5471205376991528,1.4912322231841482,0.4895603557088118,5.1327231027166176E-17,0.44353972333887026,0.03431879105173022,0.3641882460760967,0.4488005342729213
-3.141592653589793,-0.6108652381980153,0.6003000000000001,0.5353036610191177,1.41989058977894,0.5081351412293299,5.3700160625396247E-17,0.3957797024273046,0.03669801158414683,0.356603237315191,0.4388731694719611
-3.141592653589793,-0.5235987755982989,0.6003000000000001,0.5194128002535394,1.3328009486149,0.5181330751094766,5.5087635462566994E-17,0.34465787053428026,0.03879793808954285,0.3463042625953948,0.42560571485245424
-3.141592653589793,-0.4363323129985824,0.6003000000000001,0.4995688944480077,1.2334933226781821,0.5192200481555957,5.544749781784712E-17,0.2916412104471689,0.040602588859241916,0.33336970333301685,0.40909914375516326
-3.141592653589793,-0.3490658503988659,0.6003000000000001,0.47592296770778086,1.1257320993583027,0.5113208667900747,5.47688134556706E-17,0.23823955430078222,0.0420982294112087,0.31789799933414425,0.3894790811530786
-3.141592653589793,-0.26179938779914946,0.6003000000000001,0.44865497981315305,1.0132823503148929,0.4946218586823073,5.3072203856951324E-17,0.1859604771606386,0.043273477017750264,0.3000068996082786,0.36689484756952
-3.141592653589793,-0.17453292519943295,0.6003000000000001,0.41797245661686344,0.8996804839637662,0.46956561985170203,5.040921964582043E-17,0.13626436539196057,0.04411938733494693,0.27983256622727515,0.34151832265879134
-3.141592653589793,-0.08726646259971647,0.6003000000000001,0.38410891064705,0.7880246529547362,0.4368380597398472,4.686077424999818E-17,0.09052101837790738,0.0446295224745102,0.25752853804975884,0.31354263709822794
-3.141592653589793,0.0,0.5474,0.347322063935911,0.6807989609923619,0.39734813412775855,4.2534685387236564E-17,0.049969094802911465,0.0448,0.23326456219770125,0.28318070274712653
-3.141592653589793,0.08726646259971647,0.5387111111111111,0.30815798094633023,0.5779070966181726,0.35190113502809567,3.759486223356669E-17,0.015894839003242907,0.0446295224745102,0.2074009244472839,0.25088312009513414
-3.141592653589793,0.17453292519943295,0.5250571428571429,0.2658619552462559,0.48270105392988216,0.30118430870800944,3.206405945011995E-17,-0.011101823681360631,0.04411938733494693,0.17943963532267415,0.21602715902804004
-3.141592653589793,0.26179938779914946,0.5083000000000001,0.2226382632601754,0.3980047702109889,0.24870193725773115,2.6336280272699694E-17,-0.03030977743260409,0.043273477017750264,0.1508358666833133,0.18043105641331342
-3.141592653589793,0.3490658503988659,0.48875,0.17974212191229802,0.3237539602726764,0.19684751003646148,2.0684571691411792E-17,-0.041745999653021094,0.0420982294112087,0.1224186411091255,0.14512988337180524
-3.141592653589793,0.4363323129985824,0.41706666666666664,0.12971684808499986,0.24969527820934148,0.1388421343217794,1.4397362868395298E-17,-0.043894958876682696,0.040602588859241916,0.08926735273343167,0.10397120550568172
-3.141592653589793,0.5235987755982989,0.33043333333333336,0.09698659049121042,0.20329033557083365,0.09967385764584095,1.0286157636333028E-17,-0.04669530272370394,0.03879793808954285,0.06750296415225775,0.07710409179853286
-3.141592653589793,0.6108652381980153,0.1311,0.09439988334636949,0.2003311455970693,0.08964571976447591,9.46993130790052E-18,-0.06102311253790502,0.03669801158414683,0.06560674405117708,0.07512755289194381
