AZIMUTH,ELEVATION,EXPOSED,FRONTAL,DRAG_MUL,SRP_X_MUL,SRP_Y_MUL,SRP_Z_MUL,POW_MUL,ABS_MUL,EMI_MUL
-3.141592653589793,-1.5707963267948966,0.28750000000000003,0.18746103196795538,0.38179948049618073,0.024984547401455743,1.4057325828091416E-33,0.21694606706387914,0.0,0.12372428109885056,0.1546553513735632
-3.141592653589793,-1.4835298641951802,0.3657,0.21031225184438232,0.43962476318887833,0.04787411786809464,2.2447678491520294E-18,0.24106233265270582,0.0,0.13880608621729232,0.1735076077716154
-3.141592653589793,-1.3962634015954636,0.3657,0.2315628684942638,0.4993199177325758,0.07408946824612513,4.9243623536126044E-18,0.261420520489296,0.0,0.15283149320621414,0.19103936650776765
-3.141592653589793,-1.3089969389957472,0.3657,0.2510511518934211,0.5600329789515428,0.1029327786564495,7.957365390303925E-18,0.2774436249224309,0.0,0.16569376024965793,0.20711720031207237
-3.141592653589793,-1.2217304763960306,0.3657,0.26862878443783933,0.620575893816101,0.1336205079727348,1.1251620696729727E-17,0.288680574853352,0.0,0.17729499772897397,0.22161874716121743
-3.141592653589793,-1.1344640137963142,0.3657,0.2841619897301908,0.6794830382605361,0.16530649469068456,1.4707033992377868E-17,0.29481966697396644,0.0,0.18754691322192593,0.23443364152740737
-3.141592653589793,-1.0471975511965979,0.3657,0.29753255069899487,0.7350908507380127,0.19710701055325267,1.8218614292783582E-17,0.2956978104833846,0.0,0.19637148346133662,0.24546435432667074
-3.141592653589793,-0.9599310885968813,0.3657,0.3086387093019136,0.7856333097039198,0.2281270106869212,2.1679664007464423E-17,0.2913053041085078,0.0,0.203701548139263,0.2546269351740787
-3.141592653589793,-0.8726646259971648,0.3657,0.31739594096589674,0.8293468845599525,0.25748678722971063,2.498502089221545E-17,0.2817860016391266,0.0,0.20948132103749187,0.26185165129686483
-3.141592653589793,-0.7853981633974483,0.3657,0.32373759787022044,0.8645779250326875,0.28434822071778687,2.803425335068481E-17,0.26743286193137356,0.0,0.21366681459434547,0.26708351824293186
-3.141592653589793,-0.6981317007977318,0.3657,0.3276154161766455,0.8898852679352229,0.30793983523413027,3.073471199760798E-17,0.24867901919220714,0.0,0.21622617467658603,0.27028271834573253
-3.141592653589793,-0.6108652381980153,0.3657,0.32899988334636954,0.9041311455970693,0.32757989915683366,3.300434476349621E-17,0.22608464508526366,0.0,0.2171399230086039,0.27142490376075484
-3.141592653589793,-0.5235987755982989,0.3657,0.3278804627482666,0.9065542562943742,0.342696872191278,3.4774190005247576E-17,0.20032000167381236,0.0,0.216401105413856,0.27050138176731997
-3.141592653589793,-0.4363323129985824,0.3657,0.3242656738490131,0.89682005104461,0.3528465794457858,3.5990471870776385E-17,0.17214519956937493,0.0,0.21401534474034864,0.2675191809254358
-3.141592653589793,-0.3490658503988659,0.3657,0.31818302737480136,0.8750448219400873,0.3577255921855268,3.661623425106685E-17,0.14238727538281865,0.0,0.21000079806736893,0.26250099758421114
-3.141592653589793,-0.26179938779914946,0.3657,0.30967881593810265,0.8417919406272667,0.3571804095745566,3.663246367284489E-17,0.11191528365112986,0.0,0.20438801851914776,0.25548502314893473
-3.141592653589793,-0.17453292519943295,0.3657,0.29881776172293334,0.7980404715858307,0.35121216271098044,3.603866701334225E-17,0.08161415837700564,0.0,0.19721972273713603,0.24652465342142002
-3.141592653589793,-0.08726646259971647,0.3657,0.28568252390995497,0.7451282458398283,0.3399766977211661,3.485288648358235E-17,0.052358136350675835,0.0,0.1885504657805703,0.23568808222571286
-3.141592653589793,0.0,0.3128,0.2703730695901975,0.6846731999849682,0.3237800344942737,3.3111151424927995E-17,0.024984547401455726,0.0,0.17844622592953036,0.22305778241191293
-3.141592653589793,0.08726646259971647,0.3601142857142857,0.2579480851484162,0.61853857750741,0.3071982198383939,3.1469321984738695E-17,-7.182767386964637E-4,0.0,0.17024573619795472,0.21280717024744336
-3.141592653589793,0.17453292519943295,0.3526666666666667,0.24286924736903473,0.5494740654681087,0.28572542162661585,2.929104308675353E-17,-0.023887021664996504,0.0,0.1602937032635629,0.20036712907945364
-3.141592653589793,0.26179938779914946,0.3443727272727273,0.2263159936766941,0.48238508509745903,0.2611797593113401,2.6771325613058282E-17,-0.043855262397387115,0.0,0.14936855582661812,0.18671069478327262
-3.141592653589793,0.3490658503988659,0.33963333333333334,0.21118663472112412,0.423896348718305,0.23731537376942502,2.430317968699915E-17,-0.06078058289279294,0.0,0.1393831789159419,0.17422897364492737
-3.141592653589793,0.4363323129985824,0.31682499999999997,0.18609227499234904,0.35693927403903536,0.20196368041565016,2.065451057147505E-17,-0.07164035367173716,0.0,0.12282090149495037,0.15352612686868794
-3.141592653589793,0.5235987755982989,0.29867142857142853,0.16499193243620605,0.3050990457878668,0.17138702650074844,1.7498635813121293E-17,-0.07928410773923021,0.0,0.108894675407896,0.13611834425987
-3.141592653589793,0.6108652381980153,0.2744666666666667,0.14343417122782626,0.26083727760609665,0.14111855270710102,1.4388913424281202E-17,-0.08277304456349596,0.0,0.09466655301036533,0.11833319126295666
-3.141592653589793,0.6981317007977318,0.22885,0.11920770166309344,0.22100303829714263,0.10959427307297283,1.1183278312326043E-17,-0.0810434728921648,0.0,0.07867708309764168,0.0983463538720521
-3.141592653589793,0.7853981633974483,0.1311,0.09270169901355639,0.18540339802711275,0.07808370339879196,8.027559768410902E-18,-0.0740286817109475,0.0,0.061183121348947225,0.07647890168618401
