alt_km,rate_bps,total_time_s,total_MB,rate_kbps
500.0,9600,396.905247666527,0.41748021266316665,9.6
500.0,19200,396.905247666527,0.8349604253263333,19.2
500.0,64000,396.905247666527,2.7832014177544444,64.0
500.0,100000,396.905247666527,4.348752215241319,100.0
500.0,256000,396.905247666527,11.132805671017778,256.0
600.0,9600,422.49934696311703,0.3554677691484704,9.6
600.0,19200,422.49934696311703,0.7109355382969408,19.2
600.0,64000,422.49934696311703,2.3697851276564696,64.0
600.0,100000,422.49934696311703,3.7027892619632334,100.0
600.0,256000,422.49934696311703,9.479140510625879,256.0
